"","gene","cor_cnt_telo","p_rank_telo"
"232","PATZ1_172",-0.000508841283857154,0.0126001630257073
"678","THRA_672",-0.000505456242231118,0.534296434936721
"517","EP300_804",-0.000486508910530253,0.283234196205919
"607","MEIS3_411",-0.000478633306743567,0.378376711006626
"726","ZNF333_217",-0.000477630133753712,0.661665230651421
"465","ZNF354C_256",-0.00047758560266713,0.210948166280971
"176","ZBTB7A_258",-0.000473807533078724,0.00326813395388731
"653","NR4A1_671",-0.000473461159028134,0.487687230299983
"650","HSF2_623",-0.000468730518712232,0.471110284609775
"694","TEAD3_795",-0.000464240962968552,0.564666355425389
"699","CDC5L_646",-0.000459545251046078,0.576968087986203
"493","IRF1_629",-0.000458704128420003,0.242846059576553
"155","ZNF263_159",-0.000455014775362813,0.0021229693788602
"530","SMAD1_744",-0.000432099985076601,0.313869897804271
"713","PAX8_707",-0.000412334868374194,0.61363568660575
"659","LIN54_297",-0.000406965696476855,0.5067259902094
"604","HDX_511",-0.000399916418789874,0.372428022754523
"652","SOX12_768",-0.000398143301114163,0.485710013814623
"707","CREM_108",-0.000395539797943392,0.603798686432123
"692","HOXD4_523",-0.000394921031074843,0.556504572513347
"651","ESR2_678",-0.000394359057955879,0.471778631201361
"717","E2F7_316",-0.000390864122976267,0.625793747623219
"616","STAT2_778",-0.000384982130539415,0.393219530712604
"706","SOX8_746",-0.000377743136009312,0.600819620374561
"588","MAFA_146",-0.000377551340978393,0.359228125838542
"705","ARID5A_9",-0.000375149975768189,0.591160565181894
"352","ZFY_166",-0.000372756575502837,0.0735618937024378
"690","NR2C1_670",-0.000360579942326639,0.554733520659388
"229","ZFX_158",-0.000356937036445499,0.0113432941618892
"630","FUBP1_809",-0.000349802069117664,0.422079750116668
"723","ZBTB47_188",-0.000341089558950751,0.652565499301849
"724","ZNF652_278",-0.000341089558950751,0.652565499301849
"743","PRKRIR_799",-0.000335770838305068,0.702184513720356
"776","SIX4_407",-0.000323122525557133,0.76516243844335
"716","BRCA1_319",-0.000318101471464824,0.619641599901821
"708","IRF3_630",-0.000308966679925089,0.604340585423163
"762","OVOL1_246",-0.000308045805160631,0.735996991236576
"310","KLF15_223",-0.000304800698551983,0.0446506992702985
"696","HOXC6_561",-0.000298794537141728,0.568812178282163
"820","HOXD1_460",-0.000298000258334823,0.851614144968102
"737","ESRRG_697",-0.000285728764291152,0.692066398996922
"729","PITX2_504",-0.000285161010398935,0.679057643151807
"734","IRX1_526",-0.000282958599125778,0.684570995543763
"735","IRX3_542",-0.000282958599125778,0.684570995543763
"793","MEOX1_396",-0.000278482240738611,0.795689947071015
"675","HES1_34",-0.000276510680274458,0.530659717078685
"691","KLF12_191",-0.000269039665955216,0.556133745543241
"802","PAX1_708",-0.000268363979260702,0.805321025606651
"795","SIM1_31",-0.000259494381913862,0.799913425861918
"796","NPAS1_49",-0.000259494381913862,0.799913425861918
"797","NPAS3_59",-0.000259494381913862,0.799913425861918
"798","SIM2_61",-0.000259494381913862,0.799913425861918
"799","ENSG00000250811_102",-0.000259494381913862,0.799913425861918
"738","BCL6B_218",-0.00025318137640213,0.692887813764725
"779","ALX1_545",-0.000249302400304252,0.76851446217851
"773","STAT4_775",-0.000245191643022194,0.751455939355928
"783","POU6F2_612",-0.00024148247730999,0.774967124155597
"697","ATF5_136",-0.000239256623269093,0.570808419823906
"800","PAX9_710",-0.000238360577153153,0.803297970208001
"767","HSF1_627",-0.000227853493991926,0.740259698063717
"760","MAF_144",-0.00022708053785644,0.734752929568614
"739","ZBTB7C_265",-0.000226879329432736,0.694704803082633
"751","SREBF2_99",-0.000224471630127691,0.717490514335259
"490","TFAP2D_2",-0.000218186864364539,0.2399921401282
"775","ZNF691_224",-0.000216338172633937,0.76235759727329
"701","EGR4_207",-0.000215306834710236,0.58091572988313
"759","NFATC3_713",-0.000210179095211467,0.734408025658027
"736","MYC_55",-0.000209716227515366,0.688448456756082
"753","MAFB_150",-0.00020843334554479,0.722720759744144
"778","HSF4_624",-0.000206558521592316,0.766591617055439
"803","PBX4_861",-0.000197351057268379,0.806473659183389
"756","ZNF423_176",-0.0001966737489986,0.727341748330303
"770","NKX61_502",-0.000191692430961906,0.742707988905894
"821","LBX2_543",-0.000191236326209761,0.851732895987313
"714","DNMT1_301",-0.000183453272645197,0.61491639961879
"755","ESR1_661",-0.000183353938836289,0.726665289542456
"810","HOXD8_537",-0.000181514684670398,0.821396060337977
"826","HESX1_503",-0.000175008033063202,0.871539837020513
"663","E2F6_317",-0.000174337598453819,0.517118946893792
"807","ESRRA_691",-0.000171319872474477,0.817114485579653
"835","FOXL1_369",-0.00016373633865242,0.902411901383818
"468","ZNF148_222",-0.000162303071940101,0.211833373070679
"811","SOX11_767",-0.000154537256861479,0.821724409934327
"763","ZNF75A_219",-0.000154524325032336,0.736910254551514
"764","ZNF75D_272",-0.000154524325032336,0.736910254551514
"765","ZNF75C_851",-0.000154524325032336,0.736910254551514
"786","STAT6_776",-0.000151354426998117,0.781574441858591
"849","OTX1_437",-0.000148422607805026,0.934217395761036
"749","ZNF350_817",-0.000139641357589989,0.710448255322282
"655","EGR1_195",-0.000136766927934412,0.494702639313046
"834","BATF3_120",-0.000129366603533363,0.8979968426684
"619","WT1_266",-0.000123725200045952,0.401036235339451
"815","STAT1_773",-0.000118805795648292,0.838971925329734
"804","NR2E3_657",-0.000116842253249206,0.806562866254718
"844","SMAD3_743",-0.00011169729535124,0.917591052997031
"833","TERF2_649",-0.000105572740767747,0.897391641352848
"836","ZBTB1_203",-0.00010154455817721,0.90258048805623
"824","ARID3C_10",-9.92244207065271e-05,0.861355891007554
"859","TET1_302",-9.90723308394265e-05,0.956600049943386
"711","KLF6_165",-9.74286059334448e-05,0.609842453671243
"846","ZNF410_193",-9.03781899408807e-05,0.920263739614774
"768","SMAD5_866",-8.47309908509433e-05,0.74140112519065
"830","ZBTB3_269",-8.02591072902184e-05,0.882014743256153
"838","NR1H4_655",-7.94309502384951e-05,0.908079408873297
"845","NKX28_475",-7.72826396912092e-05,0.918057958814261
"854","YBX2_827",-7.31128053594073e-05,0.939229542609374
"855","CSDA_828",-7.31128053594073e-05,0.939229542609374
"842","SOHLH2_819",-7.30245746116211e-05,0.916852181002875
"843","C13orf38SOHLH2_823",-7.30245746116211e-05,0.916852181002875
"831","FOXI2_375",-7.28447549947867e-05,0.884050376092063
"847","ZNF524_243",-5.30008510107843e-05,0.922767184263622
"858","NKX22_458",-4.83289549849099e-05,0.953062773262161
"852","ZNF282_240",-4.33372997521257e-05,0.938494849819258
"851","FOXM1_352",-3.54229173417548e-05,0.936729736559269
"864","DRGX_516",-2.73415859151559e-05,0.975590628292085
"863","HES2_19",-2.48709780186072e-05,0.975202700395432
"867","DLX4_429",-2.01899629117176e-05,0.984919269694917
"868","DLX2_438",-2.01899629117176e-05,0.984919269694917
"866","SOX15_757",-1.42231667634966e-05,0.984836615715277
"870","HEY2_54",-3.32927907628104e-06,0.996214684422452
"865","ZNF683_253",1.13000317408837e-05,0.981088816923943
"869","ALX3_493",1.66880159134581e-05,0.988385242734377
"862","MYB_648",2.80081491621873e-05,0.966175185499522
"860","FEZF1_204",2.9304271513712e-05,0.959171045569149
"861","FEZF2_214",2.9304271513712e-05,0.959171045569149
"832","E2F4_318",5.30717646574069e-05,0.890970874767836
"814","ZNF740_209",5.715309465764e-05,0.830717689529634
"850","RORB_865",6.16329739953979e-05,0.934470900385247
"856","MECOM_169",6.88934320560778e-05,0.941351890614596
"857","NOTO_567",7.20005196717047e-05,0.949802895241765
"841","RORA_658",7.78548867540712e-05,0.915992887907456
"853","BARHL2_484",8.20117256937961e-05,0.939198133467314
"848","PROX1_712",8.59906688819677e-05,0.933905979131132
"808","KLF8_174",8.93397136603337e-05,0.819064069588708
"823","PRDM4_185",9.23912280884744e-05,0.859423696072654
"825","MYCL1_37",9.94484281221167e-05,0.864694327433266
"829","HMG20B_748",0.000101411659863032,0.878768805409503
"837","ALX4_401",0.000105653783180209,0.907238887290876
"827","NKX25_550",0.000106520916878456,0.875851704807275
"792","BPTF_812",0.000112499687368428,0.794389043230125
"784","UBP1_393",0.000112778348963134,0.779305041801591
"822","IRF7_635",0.000116834661630537,0.858723343340868
"840","CENPB_289",0.000119102088721646,0.91118647006761
"817","MYCN_52",0.000135823805745253,0.843344397318584
"813","NFKB2_714",0.000138403783530249,0.826643879331938
"839","EVX2_534",0.000143293097382302,0.909077624961835
"742","SPZ1_810",0.000146548633298994,0.699219317160233
"828","GBX2_520",0.000151371200439977,0.876206886724364
"801","RARB_659",0.000160980685894042,0.803824001783007
"818","HMX3_557",0.000164232777958914,0.845690955849842
"788","DDIT3_141",0.000182388030757758,0.786982632508528
"812","MLXIP_78",0.000189280724473268,0.82321071013402
"806","PHOX2A_512",0.000195597361463882,0.81414834265344
"787","SOX3_759",0.000196874281918469,0.784366903200174
"745","GLI1_186",0.000196892318287936,0.703826977227935
"816","MSX1_501",0.000199931226580143,0.842238276484704
"819","LHX6_423",0.000206481951966099,0.848533850574276
"782","GATA4_386",0.000216537951246197,0.773348066322352
"789","IRX5_539",0.000220129806342229,0.788772001423045
"785","POU6F1_551",0.000222636731392438,0.779917219571733
"809","SIX2_528",0.000226836485520684,0.821025314597728
"766","NKX21_476",0.000229216712607753,0.738068575173452
"639","RREB1_200",0.000235696401902108,0.439319680610983
"748","E2F8_314",0.000243547326488092,0.710324146707256
"727","STAT3_777",0.000244962864593767,0.662536365471954
"758","STAT5B_779",0.000252659580593695,0.734283355638785
"728","CIC_749",0.000255607588928218,0.675440821472991
"750","NR1D1_673",0.000256783407855297,0.715678607200712
"360","SP1_267",0.000256854476306235,0.0833557634000816
"790","NKX24_457",0.000262740009433008,0.790318816235629
"720","SRY_771",0.000264968724445814,0.640049123155314
"777","DMRT1_305",0.000267646699508314,0.765570186315306
"794","CXXC1_303",0.00027249129363763,0.79952556699318
"771","HOXB6_427",0.000275354142917864,0.744987240625548
"754","HMX2_558",0.000277081720088272,0.723764335897345
"721","GFI1_220",0.000278533910106511,0.641740663247224
"769","GATA6_387",0.000282865384476192,0.74210101037154
"731","RARG_690",0.000290458408957465,0.680137826228811
"642","ZNF76_164",0.000301928329109669,0.446533446710577
"715","FOXQ1_363",0.000304388310330414,0.6166756762633
"780","MSX2_449",0.000305482997418822,0.772771520965997
"781","BSX_559",0.000305482997418822,0.772771520965997
"761","GCM2_389",0.000307106022837594,0.735442332076285
"435","CTCFL_198",0.000310253111668666,0.174215479695121
"725","PPARG_676",0.000312846571379499,0.659484384737024
"676","RBPJ_291",0.000314091044616052,0.530833126472995
"306","SP2_232",0.000314585215707326,0.0425686259855523
"752","RFX4_725",0.000315840699568277,0.718420455164995
