"sumexp","cor","gene"
11.3314827480203,-0.197098638775097,"AC097375.1"
6.81221177151836,-0.196170977138759,"HBD"
4.36356202199798,-0.179264525822913,"HEPH"
21.4407443614628,-0.172708451922531,"IGKV4-1"
30.3503145628215,-0.170273284137283,"AP001341.1"
18.9287613649331,-0.169585963919176,"AC090796.1"
10.3537701696923,-0.167048982741395,"LINC01794"
10.9613155508169,-0.160720492025811,"LINC02160"
125.692064850823,-0.159856037328884,"RASSF8"
11.8776340184833,-0.159453013896326,"AC021594.2"
19053.8773417569,-0.156521465906168,"BACH2"
21.1245745487047,-0.15590548085117,"MROH9"
80.4871883698717,-0.155519250332938,"TNFRSF17"
8.79223078102667,-0.153808769363075,"CD1E"
13.9432404971628,-0.153442355702232,"SIGLEC6"
5841.16847869135,-0.152079141736826,"AK5"
0.387625347776996,-0.150993134597638,"HMHB1"
407.576711653727,-0.148341505429642,"AC005580.1"
9.34308117695701,-0.146937707638376,"FCGR3B"
37.9169342358431,-0.146596782968806,"SERPINB2"
4.30524120379834,-0.146196993528817,"IDO2"
1.69149286456311,-0.145262081754482,"MMP2-AS1"
3375.26960046012,-0.145185500372144,"ANKRD55"
7131.49018265938,-0.144904882856386,"APBA2"
14.8987282932731,-0.143208423080381,"DLX2"
27.356752731981,-0.142957419007478,"VNN3"
17.8670184536636,-0.139632513795866,"AC004466.2"
22291.9757893597,-0.139078287215457,"LEF1"
2.60252770840266,-0.137671127317052,"AC011944.1"
14.5810019192424,-0.137525940389656,"PBK"
5154.92292381929,-0.137520546716393,"SATB1-AS1"
33.3688451276468,-0.137512774120392,"FAM124A"
4335.78811464777,-0.137344666717102,"KCNQ5"
192.03065503466,-0.13570271219783,"CXCL10"
9.91070817046009,-0.13481878912125,"AC068413.1"
330.118751155818,-0.134509717639046,"RNF212B"
26.6159613293736,-0.134006444337155,"BIRC5"
65.0406840942304,-0.131298486893844,"STYK1"
7678.93162332575,-0.12964075924745,"IGF1R"
17320.4425538652,-0.129626883640477,"FHIT"
1100.720204872,-0.129060041750129,"CD8B"
35.6777554537476,-0.127499150850489,"TFPI"
1545.61373938044,-0.126770150302653,"AL163932.1"
51.9531570206526,-0.126709786505288,"AC010996.1"
1991.28485354593,-0.126700544185261,"NBEA"
4.98256660604169,-0.125683359420608,"GAS2L3"
10.7724393513285,-0.125541016148584,"AC074212.1"
70.8949560433297,-0.125326853418561,"CASC9"
1236.84266379752,-0.123036460696508,"LRRC7"
15.9146538627424,-0.1215960002125,"AC025569.1"
7.7397041126941,-0.121555515798526,"HTR7"
44.5529231044327,-0.121493328182997,"SHC3"
42.0192812692977,-0.12047778412996,"PRKD1"
13.7803991637979,-0.120432832464461,"P2RY12"
14.9908174257518,-0.120313716160583,"KIF20A"
72.864742547737,-0.119799690306765,"LIX1"
342.236499311652,-0.119532286908297,"CADM2"
10.0721631107692,-0.119469514885349,"AC073578.2"
1.21068260410788,-0.118328124289156,"SLC7A3"
1966.87255065216,-0.11815077173049,"PECAM1"
190.269382055459,-0.117659054773612,"SELENOP"
14867.861171317,-0.117563119284023,"TXK"
60.8431003493609,-0.117461933246582,"PLCB4"
101.791571639197,-0.117296039203362,"FCGR2B"
26.7040438568903,-0.117217449885085,"TICRR"
5.86226906024176,-0.117212487240729,"SLC8A3"
398.734229933667,-0.115788783464743,"LINC02446"
40.5383685667995,-0.115683345050187,"CLDN5"
24.3195555811996,-0.114599451888486,"PTCHD1"
22.9622657560219,-0.113402346110091,"IGLC7"
441.961800214516,-0.112391552885696,"APOBEC3A"
645.671228466979,-0.112266698970572,"NRCAM"
996.024721908459,-0.112096708494997,"MARCKS"
44.7056006505558,-0.111660246294646,"SSPN"
118.686893318525,-0.111574256189044,"SLC30A8"
89.2816200257085,-0.111062494137854,"LINC02785"
838.476721016322,-0.109628313391386,"CD8A"
1066.45369539852,-0.109311680310816,"PDE7B"
40.5392827620456,-0.108697242385925,"LAMP5"
55.7763342265632,-0.108610006509672,"GALNT14"
11.1443164817063,-0.108094880744086,"CAVIN2"
8.5629958453446,-0.108066831367795,"LINC01515"
86.1233043334861,-0.107674023304833,"KCNMA1"
68.8232657210821,-0.107538795997557,"AURKB"
40.1116049407937,-0.107258228999279,"SERPINI2"
93.3301259180049,-0.107231529745886,"AC021723.2"
61.6054844768686,-0.106764981068056,"AC012668.3"
78.7588096484855,-0.10673395334258,"AC007381.1"
900.260528523599,-0.105806628731624,"CACHD1"
5.85329941743099,-0.105531816369647,"AL139340.1"
18.2269839602293,-0.105490114897942,"AL139384.2"
39.2548760224014,-0.105054058471841,"AC077690.1"
31.229498093402,-0.104765908200811,"HRK"
33.8189720098054,-0.104691872595629,"PTGS2"
14.7368722700357,-0.104558895970143,"PLAAT2"
195.047969300596,-0.104325896387273,"BCL11A"
14.9773948210159,-0.103880620701784,"PARM1"
26.7439439677825,-0.103345696896647,"KIF18B"
103.946972125245,-0.102821587043458,"PLD5"
620.900027831,-0.102549933115171,"AP001831.1"
240.79481820863,-0.102461717893238,"IGHG2"
68.2763609512964,-0.102258027253056,"RRAD"
5916.79308107095,-0.101483674627832,"AOAH"
31.7322107073431,-0.10144937124788,"HEPHL1"
9.4180108105838,-0.100689389234275,"AC092131.1"
20.2353733431575,-0.100683109078907,"AP000282.1"
26.0785351138501,-0.100323972832646,"LINC02642"
2600.72667195904,-0.100301340114016,"LEF1-AS1"
136.525500816929,-0.100189561838982,"PRDM5"
17.9752963461786,-0.0998620134888433,"AP002989.1"
105.289103578813,-0.0996717031127104,"TSBP1-AS1"
943.284480149329,-0.0996397954193996,"GSTCD"
426.048247519485,-0.0993385144476305,"MYB"
-9.94561121828066,-0.0990195975561297,"AC090709.1"
13959.2157052115,-0.0988959230184137,"MLLT3"
333.966062218924,-0.098783602018081,"MAFB"
84.6320574500574,-0.0984702863505913,"CDCA2"
5.49644246685546,-0.0984657454981019,"KLRF2"
915.194835571859,-0.0978582533337531,"KLRK1"
55.7699845036809,-0.0974770743194524,"AC002383.1"
17448.8625928108,-0.0974737047144056,"PDE3B"
784.559448543426,-0.0973883094070387,"HCK"
57.5734861832054,-0.0970934995526277,"LIN7A"
8855.77494503693,-0.0967861223262468,"RASGRF2"
978.919375308369,-0.096731989256176,"ARHGAP32"
926.636981988507,-0.0965319938450998,"CYBB"
112.395334639857,-0.096463136575546,"PCLAF"
62.485734317524,-0.0961572094045456,"LPAR1"
24.4605656173888,-0.0959844790832769,"CDC20"
69.7390465671989,-0.0959105133312281,"AC005699.1"
132.91370885075,-0.095472634206328,"PLA2G4A"
437.790946927545,-0.0953053014148745,"LRMDA"
289.098543829417,-0.095102085870882,"CD86"
190.909340854882,-0.0950865531142948,"XCL2"
12.4848903387306,-0.0942776489480305,"IGKV1-39"
51.371235509582,-0.0942673503740866,"ACOXL"
266.536470752107,-0.0935134996389288,"DGKG"
100.166014197493,-0.0934053614455834,"AL136441.1"
107.478109717231,-0.0930175176265352,"ST18"
7221.24033856923,-0.0929760293420095,"RNF157"
79.1594876292432,-0.092628756317029,"DIAPH3"
58.0332131124967,-0.092171559604251,"COBLL1"
7.36386918079027,-0.0920788989741224,"KRT7"
38.1662439162382,-0.0918024690236733,"BICC1"
1581.97122601456,-0.0907563207638234,"AIG1"
1.81438134127451,-0.0906625110676094,"LINC02161"
251.1448876871,-0.0905605063055435,"ANKRD22"
1650.60570378194,-0.0901677760064149,"IL3RA"
77.4828441903429,-0.089937428999141,"AC114930.1"
10890.7050420117,-0.089754153801415,"AC139720.1"
-4.68906747705545,-0.0896376530523594,"LINC02234"
132.427760940384,-0.0894005076700019,"AC109492.1"
996.126720819954,-0.0891307791746171,"AP000820.2"
99.2183979124705,-0.0888509874062223,"LILRA4"
367.279349073159,-0.0887144689524685,"AC011246.1"
871.704048004641,-0.0886908762584134,"CD36"
556.514367029805,-0.088501672747578,"SRGAP3"
-12.1672689549994,-0.0880509566137083,"BMP6"
126.932111591561,-0.088038077139663,"LPCAT2"
28.4561584320419,-0.0878943638699751,"CCNB2"
182.10481683531,-0.0878776765548539,"AC069277.1"
804.293760374697,-0.0876755492264826,"MCTP1"
248.788176986772,-0.0875522704286309,"PADI4"
20.8316377127555,-0.0873672716519747,"AL590550.1"
932.536425587657,-0.0872065331537571,"AC244131.2"
1118.17930454289,-0.0871650734251462,"ZC3H12B"
577.900936402308,-0.086695064078146,"DST"
17.0210160611989,-0.0860852992891964,"AC009570.2"
2176.56128590482,-0.0859062142056221,"LINC01876"
772.182082278427,-0.0858261941118355,"GLIS3"
45.588504383389,-0.0856620181234191,"PDGFC"
1736.11504059471,-0.0853539168429555,"AL359636.2"
124.559466201915,-0.0852613778270765,"Z93403.1"
162.617498293848,-0.085238725787071,"SLAMF7"
29.9124892686856,-0.0852238089877644,"LINC01937"
28.7380336444872,-0.0848514259676311,"ITGA8"
159.977376985195,-0.0847420995224536,"AL513166.1"
70.5774520930937,-0.0843012967892265,"PAPPA2"
82.1684317417277,-0.0842234703988654,"EPDR1"
11.7466579642299,-0.0841492028468503,"CDH2"
162.730605759761,-0.0841292156977854,"ROBO1"
76.6247024422257,-0.0839149617476378,"XACT"
730.137480579433,-0.0838830960876188,"C8orf37-AS1"
85.6952802636011,-0.0835927443176178,"PDK4"
906.730610132336,-0.0835345515913108,"CCDC102B"
122.926199360281,-0.0834434940018536,"TCL1A"
112.444849840602,-0.0834343728480649,"CLIC2"
57.5635075021735,-0.08271421324856,"RUFY4"
867.748997533388,-0.0827136419461351,"SOX2-OT"
17.0126392799831,-0.0825761440544828,"CRHBP"
516.807866018503,-0.0823949561682923,"ST8SIA6"
166.331775016177,-0.082351829001611,"AC004817.5"
1518.19997392814,-0.0815898255264303,"ST6GALNAC3"
2646.22832537018,-0.0813241006602213,"SLC16A10"
33.757427595557,-0.0812452138478785,"RNF150"
7201.66502252945,-0.0811763599572319,"NELL2"
140.875319579632,-0.0808695929817262,"TFEC"
23786.4647016211,-0.0806780898792429,"CAMK4"
569.261182787501,-0.080601282083128,"LINC01684"
2976.83301782281,-0.0805831861144903,"FAM13A"
13.5402665752181,-0.0805618574357197,"IL31RA"
2691.31202703391,-0.0802940114738926,"GNLY"
26.6974714098057,-0.0799114520957683,"CKAP2L"
246.335407713681,-0.0797585660764085,"CLEC4E"
11631.870653013,-0.079726012589678,"NR3C2"
1484.35933463319,-0.0796281376022557,"DISC1FP1"
77.1343595388324,-0.0791611924713374,"MKI67"
260.585920168889,-0.0789292756619818,"CREB5"
152.270303537673,-0.0788388729918856,"ECRG4"
3722.88122383575,-0.0786917913502149,"JAML"
11.7071648253662,-0.0786262674206967,"IGHG4"
966.298544193512,-0.0786211155563735,"ACVR1C"
3.31190958686655,-0.0784167565925986,"CPB1"
285.766787569252,-0.078341001365575,"SLC11A1"
351.394918335528,-0.0780055455579328,"ATL1"
11.182820218935,-0.0771230155505205,"AP000676.5"
997.591372367934,-0.0770379717073941,"IGSF6"
1191.13184903958,-0.0770179878107237,"TTC28"
44.3199822677613,-0.0767049787527434,"SYT1"
785.823174418327,-0.0763132919846986,"TMEM182"
206.158508282918,-0.0761924020557483,"MZB1"
145.828927816483,-0.0755620037711832,"DYSF"
67.7771230368897,-0.0752560918117081,"RGS6"
440.401774582509,-0.0752496404592612,"ARHGEF11"
4.11812249740149,-0.0747045586643717,"AC104819.3"
1837.2632930885,-0.0745580298369782,"MIR181A1HG"
52.5159530812442,-0.0745213487583361,"FCRLA"
58.2959154866513,-0.074419186575984,"AK8"
4121.67695250825,-0.0741073138402753,"AIF1"
138.16058861974,-0.0740814723778484,"IFI27"
293.319735021196,-0.0738841996965747,"TRAV6"
198.352942533924,-0.0738462013193137,"MBOAT2"
246.32012736453,-0.0737579379672567,"LILRB1"
100.809051326292,-0.0735714242281983,"ARRDC4"
123.65625110576,-0.0733422051965248,"CLMN"
2183.65308000851,-0.0731405918467339,"ZC4H2"
36.6773691955902,-0.0730237433397973,"SH2D1B"
2302.91286899803,-0.0727182566628987,"UBE2E2"
782.923659788625,-0.0726853960583665,"USP6NL"
13.8050875881852,-0.0726628178486767,"AC087280.2"
5.48011991369691,-0.0724674036072104,"AC010880.1"
20.38942525159,-0.0724596011355573,"GLIS1"
64.0912129114148,-0.0724003056032526,"AL590006.1"
0.818144268375221,-0.0723605785764418,"DYTN"
4707.82116044266,-0.0722265754588504,"INVS"
907.270154445878,-0.0722082607453398,"ABCB1"
268.586268053059,-0.0721150451118247,"MAPK10"
575.360066034868,-0.071802286260346,"POT1-AS1"
365.316120240023,-0.0715105842222996,"CENPF"
129.748811414945,-0.0714909859711656,"TNS3"
61.7358887374075,-0.0714616664561351,"MERTK"
60.6290283324107,-0.071391514763986,"AC064807.2"
8.81131406625211,-0.0713857751558478,"BTNL9"
85.4209158576108,-0.0713837805883707,"JDP2"
20.5428956838289,-0.0713508099924791,"SEZ6L"
282.625293231139,-0.0712522259570763,"AC009315.1"
12327.4374055147,-0.0712470246202919,"ABLIM1"
95.2535456624227,-0.0710545621053683,"AJ009632.2"
303.730541863897,-0.0710425773726358,"AC104123.1"
5981.85266940027,-0.0707826020629792,"DIPK1A"
68.158681320158,-0.0707146973171182,"KIF14"
3010.29550744787,-0.0706114169113145,"DPH6"
923.055599879758,-0.0705554706684146,"AC008771.1"
302.516080956153,-0.0705399382970678,"TCF4"
1284.55638527415,-0.0705215070788657,"PLSCR1"
2.47091392409709,-0.0705156619952286,"SCN7A"
260.448170846756,-0.0704712859970996,"DOCK5"
939.56808802483,-0.0704044658896451,"PDZD2"
10056.4954175436,-0.0703902851465364,"PLCL1"
213.882167907574,-0.0703014375023295,"MAP7"
225.163471854803,-0.0702007379688676,"LINC01146"
327.20624202117,-0.0697033496604567,"MOB3B"
186.376314147936,-0.0696362117871106,"DTHD1"
50.8293656345113,-0.0694893585490513,"COL26A1"
3400.28068338851,-0.0693935085019818,"TYROBP"
-8.92678252761163,-0.0692100653967572,"CHL1"
250.097635546373,-0.0691796377094918,"CASC15"
244.755605433437,-0.0691079713238319,"LINC01483"
12.5142631251518,-0.0689613180839936,"TPSB2"
171.342303547027,-0.0688994290886855,"SHTN1"
735.689177134273,-0.0688035810429831,"EVI5"
21.7786144319775,-0.0687341367309818,"LINC02457"
92.4859147520419,-0.0684659375235562,"CD1C"
416.255030292501,-0.068309013079014,"ICAM1"
15.8607859323141,-0.0682943214017443,"FGF17"
389.632907665195,-0.0681955460274701,"PTGDS"
1078.89718336663,-0.0680718065270522,"CALHM6"
330.66364240927,-0.0680417733085877,"STEAP1B"
15.9405877440439,-0.0678284134905714,"AC020779.2"
186.323819088195,-0.0677198892375564,"S100B"
171.815229711032,-0.0677022254366642,"LINC00334"
1081.05353097411,-0.0676898451895863,"LYN"
97.0778152954984,-0.0676060819437118,"AC106729.1"
35.4872587948474,-0.0674825681949725,"SCN2A"
91.2960658242779,-0.0672869150915834,"TK1"
