"cor","motif","name"
-0.0648335958259129,"MA0497.1","MEF2C"
-0.0645456054820243,"MA0647.1","GRHL1"
-0.0644545880187582,"MA0846.1","FOXC2"
-0.064201507710493,"MA1573.1","THAP11"
-0.0637507715432313,"MA0144.2","STAT3"
-0.0637344555305994,"MA0845.1","FOXB1"
-0.0629690551989572,"MA1541.1","NR6A1"
-0.0625288811802889,"MA1657.1","ZNF652"
-0.061880245213106,"MA0766.2","GATA5"
-0.0609198720759485,"MA1578.1","VEZF1"
-0.0605720604748271,"MA0131.2","HINFP"
-0.0594377993384566,"MA0148.4","FOXA1"
-0.0586215235982635,"MA1489.1","FOXN3"
-0.0585479878236002,"MA0672.1","NKX2-3"
-0.0584932831733881,"MA1562.1","SOX14"
-0.058152337989307,"MA1121.1","TEAD2"
-0.0581443962615582,"MA0822.1","HES7"
-0.0580452911775681,"MA1548.1","PLAGL2"
-0.0565528354761013,"MA0877.2","BARHL1"
-0.0559774090504618,"MA0648.1","GSC"
-0.0557604944442885,"MA0518.1","Stat4"
-0.0555089875565484,"MA0052.4","MEF2A"
-0.0546717296957218,"MA1563.1","SOX18"
-0.0540466553269173,"MA0041.1","Foxd3"
-0.0529890607382015,"MA0130.1","ZNF354C"
-0.0514697533745331,"MA1542.1","OSR1"
-0.0512323023997193,"MA0682.2","PITX1"
-0.0510771711809078,"MA0137.3","STAT1"
-0.050290250472092,"MA0625.1","NFATC3"
-0.0493201210252448,"MA1628.1","Zic1::Zic2"
-0.0489685684865161,"MA0891.1","GSC2"
-0.0485105086730365,"MA0508.3","PRDM1"
-0.0484253884839644,"MA1649.1","ZBTB12"
-0.0468118083839109,"MA0084.1","SRY"
-0.0467432332046323,"MA0163.1","PLAG1"
-0.0449222302550838,"MA0509.2","RFX1"
-0.0435220430924775,"MA1528.1","NFIX(var.2)"
-0.0432033895523825,"MA0883.1","Dmbx1"
-0.0430444132893101,"MA1607.1","Foxl2"
-0.0427302278562615,"MA0090.3","TEAD1"
-0.0425821780135715,"MA0154.4","EBF1"
-0.0421914549521022,"MA0813.1","TFAP2B(var.3)"
-0.040680561551584,"MA1639.1","MEIS1(var.2)"
-0.0404633510995038,"MA0676.1","Nr2e1"
-0.0404105251785453,"MA0624.1","NFATC1"
-0.0399489215383463,"MA0712.2","OTX2"
-0.0396752870913233,"MA0681.2","PHOX2B"
-0.0391377928860779,"MA0619.1","LIN54"
-0.0385406879635745,"MA0862.1","GMEB2"
-0.0376261242680971,"MA1464.1","ARNT2"
-0.0371071624525806,"MA0719.1","RHOXF1"
-0.0368621195465006,"MA0615.1","Gmeb1"
-0.0364302568677745,"MA0665.1","MSC"
-0.0360483871192091,"MA0037.3","GATA3"
-0.0357955235345448,"MA1120.1","SOX13"
-0.0354769923552926,"MA0911.1","Hoxa11"
-0.0354058745814123,"MA1554.1","RFX7"
-0.0353810618918242,"MA0108.2","TBP"
-0.0349514129043779,"MA0519.1","Stat5a::Stat5b"
-0.0348413895979944,"MA0613.1","FOXG1"
-0.0340363320016732,"MA1100.2","ASCL1"
-0.0336102355386223,"MA0004.1","Arnt"
-0.0332120420322774,"MA0767.1","GCM2"
-0.0329173259488411,"MA0907.1","HOXC13"
-0.0327041333390166,"MA0465.2","CDX2"
-0.0315726085977096,"MA0809.2","TEAD4"
-0.0310461026178767,"MA1589.1","ZNF140"
-0.0308123824307789,"MA1547.1","PITX2"
-0.0303317981660385,"MA0815.1","TFAP2C(var.3)"
-0.0302748699088836,"MA0865.1","E2F8"
-0.029533085157426,"MA0149.1","EWSR1-FLI1"
-0.0293547420586427,"MA1557.1","SMAD5"
-0.0282839030642283,"MA0095.2","YY1"
-0.0279364555787438,"MA1625.1","Stat5b"
-0.0276532948029514,"MA0771.1","HSF4"
-0.027509741393312,"MA0031.1","FOXD1"
-0.027509741393312,"MA0157.2","FOXO3"
-0.0269154603579346,"MA0603.1","Arntl"
-0.0266465730775063,"MA0486.2","HSF1"
-0.026521049325675,"MA0825.1","MNT"
-0.0253687387782464,"MA1487.1","FOXE1"
-0.0250556363073629,"MA0646.1","GCM1"
-0.024290766409037,"MA1600.1","ZNF684"
-0.0240174254344078,"MA1683.1","FOXA3"
-0.0237610465520261,"MA0525.2","TP63"
-0.0236992675525403,"MA0047.3","FOXA2"
-0.0228165871014268,"MA0469.3","E2F3"
-0.0227444713590092,"MA0671.1","NFIX"
-0.0224618096767919,"MA0622.1","Mlxip"
-0.0223411741438131,"MA0035.4","GATA1"
-0.0223078248179278,"MA0913.2","HOXD9"
-0.0222954331436304,"MA0714.1","PITX3"
-0.0219410602311996,"MA0808.1","TEAD3"
-0.0214872433221025,"MA0140.2","GATA1::TAL1"
-0.021270467176061,"MA0479.1","FOXH1"
-0.0212102782116914,"MA0821.1","HES5"
-0.0207194337498143,"MA1493.1","HES6"
-0.0206589362131358,"MA1601.1","ZNF75D"
-0.0203319342625729,"MA1599.1","ZNF682"
-0.0201925833295183,"MA0711.1","OTX1"
-0.0201654209401078,"MA1479.1","DMRTC2"
-0.0199180527095596,"MA0866.1","SOX21"
-0.0198195933304199,"MA0781.1","PAX9"
-0.0195118304518599,"MA1654.1","ZNF16"
-0.0193667576191168,"MA0779.1","PAX1"
-0.019328916607207,"MA1606.1","Foxf1"
-0.0191430288600355,"MA1602.1","ZSCAN29"
-0.0190894009727472,"MA1103.2","FOXK2"
-0.0185619534265419,"MA0069.1","PAX6"
-0.0184632157061539,"MA0470.2","E2F4"
-0.0180955629883268,"MA0649.1","HEY2"
-0.0167828532099193,"MA0042.2","FOXI1"
-0.0167828532099193,"MA0033.2","FOXL1"
-0.0167828532099193,"MA0848.1","FOXO4"
-0.0167828532099193,"MA0849.1","FOXO6"
-0.0167828532099193,"MA0850.1","FOXP3"
-0.0167260798869504,"MA0829.2","SREBF1(var.2)"
-0.0163813775098207,"MA0777.1","MYBL2"
-0.0156227045885544,"MA1506.1","HOXD10"
-0.0150227433148882,"MA1580.1","ZBTB32"
-0.014032388991755,"MA1495.1","HOXA1"
-0.014032388991755,"MA0904.2","HOXB5"
-0.0137890658364013,"MA0863.1","MTF1"
-0.0137405561645009,"MA0909.2","HOXD13"
-0.0135665778156407,"MA0604.1","Atf1"
-0.0121595347294202,"MA0823.1","HEY1"
-0.0121049105756532,"MA0070.1","PBX1"
-0.0118297524425723,"MA0036.3","GATA2"
-0.0114318696009754,"MA0057.1","MZF1(var.2)"
-0.0112475920637809,"MA0030.1","FOXF2"
-0.011206456100485,"MA0636.1","BHLHE41"
-0.0108746196161867,"MA0650.2","HOXA13"
-0.0108447273744887,"MA0872.1","TFAP2A(var.3)"
-0.0108025337925254,"MA0626.1","Npas2"
-0.0103773480557928,"MA0651.1","HOXC11"
-0.00981007758306823,"MA1574.1","THRB"
-0.00971921866110332,"MA0828.1","SREBF2(var.2)"
-0.0095698232707543,"MA0114.4","HNF4A"
-0.00906198180100395,"MA1624.1","Stat5a"
-0.00867610059680685,"MA1494.1","HNF4A(var.2)"
-0.00857505354193313,"MA1629.1","Zic2"
-0.00670015868300227,"MA0734.2","GLI2"
-0.00592062053661914,"MA0730.1","RARA(var.2)"
-0.00576816623450858,"MA0873.1","HOXD12"
-0.00567729266546984,"MA0861.1","TP73"
-0.00510928826191717,"MA0602.1","Arid5a"
-0.00497100167768866,"MA1550.1","PPARD"
-0.0049308035955739,"MA0074.1","RXRA::VDR"
-0.0043038265281572,"MA1478.1","DMRTA2"
-0.00337915208878787,"MA0906.1","HOXC12"
-0.00278182989615106,"MA0762.1","ETV2"
-0.000249222162836804,"MA0481.3","FOXP1"
4.54062567695551e-05,"MA0749.1","ZBED1"
8.45583067081732e-05,"MA0752.1","ZNF410"
0.000177784433154115,"MA0019.1","Ddit3::Cebpa"
0.00031031791848989,"MA1651.1","ZFP42"
0.000473065615689051,"MA0794.1","PROX1"
0.00093649851613325,"MA0864.2","E2F2"
0.00142610653387448,"MA1491.1","GLI3"
0.00150167564405774,"MA0504.1","NR2C2"
0.00165206709788756,"MA0878.2","CDX1"
0.00169645154168299,"MA0088.2","ZNF143"
0.00180904188048325,"MA0871.2","TFEC"
0.00202250436810831,"MA0109.1","HLTF"
0.00208990351852681,"MA0855.1","RXRB"
0.00253596086700006,"MA1594.1","ZNF382"
0.00292497196973653,"MA0791.1","POU4F3"
0.00346008821161624,"MA0607.1","Bhlha15"
0.00480144658897068,"MA1123.2","TWIST1"
0.00502040836574655,"MA0812.1","TFAP2B(var.2)"
0.00522398321970442,"MA1112.2","NR4A1"
0.00606447805261541,"MA1575.1","THRB(var.2)"
0.00622270375465337,"MA0901.2","HOXB13"
0.00622401490198875,"MA0610.1","DMRT3"
0.00659211602639566,"MA0731.1","BCL6B"
0.00663091559403428,"MA1527.1","NFIC(var.2)"
0.00677812344859247,"MA0642.1","EN2"
0.00732558099007857,"MA0025.2","NFIL3"
0.00766571332402344,"MA0908.1","HOXD11"
0.00769556687121297,"MA0905.1","HOXC10"
0.00790286928053695,"MA0485.2","HOXC9"
0.00803121498320728,"MA1473.1","CDX4"
0.00818405370073721,"MA1117.1","RELB"
0.0085436330389185,"MA0776.1","MYBL1"
0.00910041400504049,"MA1545.1","OVOL2"
0.00914178414975019,"MA0693.2","VDR"
0.0101842628958202,"MA0814.2","TFAP2C(var.2)"
0.0102273971072429,"MA0063.2","NKX2-5"
0.0102966349651131,"MA0635.1","BARHL2"
0.0103681376540997,"MA0810.1","TFAP2A(var.2)"
0.0104366106630116,"MA0722.1","VAX1"
0.0104366106630116,"MA0723.1","VAX2"
0.0109824085879732,"MA0493.1","Klf1"
0.0110882064790175,"MA0158.2","HOXA5"
0.011210378034076,"MA1638.1","HAND2"
0.0117569607486284,"MA0500.2","MYOG"
0.0123151080150332,"MA0058.3","MAX"
0.0125610231559209,"MA1476.1","DLX5"
0.0128651440036599,"MA0790.1","POU4F1"
0.0134113581053929,"MA1505.1","HOXC8"
0.0135147870898975,"MA0048.2","NHLH1"
0.0139970177450734,"MA0143.4","SOX2"
0.014285650811306,"MA0795.1","SMAD3"
0.0147521818645528,"MA1637.1","EBF3"
0.0149711572265677,"MA1561.1","SOX12"
0.0163099543335206,"MA0147.3","MYC"
0.0168321420811627,"MA1116.1","RBPJ"
