ID,COLLECTION,BASE_ID,VERSION,NAME,ACC
12762,UNVALIDATED,UN0443,1,Bcl6,Q4H3U8
12763,UNVALIDATED,UN0444,1,Cdx,Q4H3T1
12764,UNVALIDATED,UN0445,1,Creb3l1-2,""
12765,UNVALIDATED,UN0446,1,Creb3l3-4,""
12766,UNVALIDATED,UN0447,1,E2f1/2/3/6,Q4H3N6
12767,UNVALIDATED,UN0448,1,Elf3-5,""
12768,UNVALIDATED,UN0449,1,Elk1-3-4,""
12769,UNVALIDATED,UN0450,1,ESRR,""
12770,UNVALIDATED,UN0451,1,Gli1-2-3,""
12771,UNVALIDATED,UN0452,1,Glis,""
12772,UNVALIDATED,UN0453,1,HNF4,Q4H3D5
12773,UNVALIDATED,UN0454,1,Mef2,Q4H375
12774,UNVALIDATED,UN0455,1,Meis,Q4H374
12775,UNVALIDATED,UN0456,1,Mesp-Msgn,""
12776,UNVALIDATED,UN0457,1,Nfil3-b,""
12777,UNVALIDATED,UN0458,1,Nkx2-3-5-6,""
12778,UNVALIDATED,UN0459,1,NR2C1-2,""
12779,UNVALIDATED,UN0460,1,Osr1-2-b,""
12780,UNVALIDATED,UN0461,1,p53-a,""
12781,UNVALIDATED,UN0462,1,Pax2-5-8-a,Q4H2Z3
12782,UNVALIDATED,UN0463,1,Pax3-7-like,Q4H2Y9
12783,UNVALIDATED,UN0464,1,Pax6,Q4H2Y8
12784,UNVALIDATED,UN0465,1,Pknox,""
12785,UNVALIDATED,UN0466,1,Pou4,Q4H2X8
12786,UNVALIDATED,UN0467,1,Prox-a,Q4H2W9
12787,UNVALIDATED,UN0468,1,Sall-b,""
12788,UNVALIDATED,UN0469,1,Six1-2,""
12789,UNVALIDATED,UN0470,1,Srf,Q4H2R3
12790,UNVALIDATED,UN0471,1,Tef-Hlf,Q4H2Q3
12791,UNVALIDATED,UN0472,1,xBP-a,""
12792,UNVALIDATED,UN0473,1,xBP-b,""
12793,UNVALIDATED,UN0474,1,xBP-c,""
12794,UNVALIDATED,UN0475,1,Zbtb7,""
12795,UNVALIDATED,UN0476,1,ZF-C2H2-1,Q4H2K9
12796,UNVALIDATED,UN0477,1,ZF-C2H2-10,Q4H2K8
12797,UNVALIDATED,UN0478,1,ZF-C2H2-15,Q4H2K3
12798,UNVALIDATED,UN0479,1,ZF-C2H2-35,Q4H2H4
12799,UNVALIDATED,UN0480,1,ZF-C2H2-6,Q4H2H1
12800,UNVALIDATED,UN0481,1,ZF-C2H2-7,Q4H2H0
12801,UNVALIDATED,UN0482,1,Zfp161,""
